	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
	141	60	10	40	0.336
	142	60	10	40	0.3745218869528260
	143	60	10	40	0.29065158801458500
	144	60	10	40	0.2983104540654700
	145	60	10	40	0.31940448222157700
	146	60	10	40	0.36859271830500400
	147	60	10	40	0.37714801731693700
	148	60	10	40	0.3081461192025070
	149	60	10	40	0.4340576449726070
	150	60	10	40	0.3721789626501250
15					0.411652178489679
	201	60	15	40	0.41102065710270200
	202	60	15	40	0.35923714934756200
	203	60	15	40	0.418243905021574
	204	60	15	40	0.44300292698362500
	205	60	15	40	0.3720414786669830
	206	60	15	40	0.41214635184003400
	207	60	15	40	0.4183989619468790
	208	60	15	40	0.3885291396854760
	209	60	15	40	0.42149351854306400
	210	60	15	40	0.47240769575888700
20					0.599494572657875
	261	60	20	40	0.5600828179332680
	262	60	20	40	0.4566573742200980
	263	60	20	40	0.5041040935363830
	264	60	20	40	0.6029512878827950
	265	60	20	40	0.7487454530972040
	266	60	20	40	0.61477024932349
	267	60	20	40	0.552515399053586
	268	60	20	40	0.6783253842077370
	269	60	20	40	0.6015635351795420
	270	60	20	40	0.675230132144647
25					0.819092425133909
	321	60	25	40	0.8476147590919930
	322	60	25	40	0.720620842572062
	323	60	25	40	0.6861968857218260
	324	60	25	40	0.9841109843762430
	325	60	25	40	0.6267022767538410
	326	60	25	40	0.909211047971455
	327	60	25	40	0.8234920298681350
	328	60	25	40	0.9083947291980250
	329	60	25	40	0.9409098097095570
	330	60	25	40	0.7436708860759490
30					1.35831448035278
	381	60	30	40	1.2563013011692000
	382	60	30	40	1.2802124833997300
	383	60	30	40	1.6280112931739600
	384	60	30	40	1.4227642276422800
	385	60	30	40	1.382159027722620
	386	60	30	40	1.6358294290478800
	387	60	30	40	1.13999208338831
	388	60	30	40	1.152943038809590
	389	60	30	40	1.3958072507391900
	390	60	30	40	1.2891246684350100
35					3.60317621290896
	441	60	35	40	3.537929030042010
	442	60	35	40	2.663221179200510
	443	60	35	40	3.3287322149076200
	444	60	35	40	2.6608534813053200
	445	60	35	40	2.8533580606702900
	446	60	35	40	3.7712413118739900
	447	60	35	40	5.318191444303260
	448	60	35	40	2.5467926826039800
	449	60	35	40	4.723015117877150
	450	60	35	40	4.628427606305470
40					7.552292023704910
	501	60	40	40	6.799008752504480
	502	60	40	40	5.517569101613030
	503	60	40	40	6.019365963655660
	504	60	40	40	8.214096449390570
	505	60	40	40	4.335842255910100
	506	60	40	40	10.838909178151600
	507	60	40	40	12.064435657227800
	508	60	40	40	7.931327283341290
	509	60	40	40	5.647699917995930
	510	60	40	40	8.154665677258630
45					62.2194650501154
	561	60	45	40	42.37649848504810
	562	60	45	40	74.49332804861940
	563	60	45	40	69.67063733129080
	564	60	45	40	63.69716355177250
	565	60	45	40	62.53719944167920
	566	60	45	40	67.52195353498060
	567	60	45	40	74.75324812786110
	568	60	45	40	26.584813194920200
	569	60	45	40	71.77812310690860
	570	60	45	40	68.78168567807350
50					88.5744553159689
	621	60	50	40	87.86371615511460
	622	60	50	40	89.94708994708990
	623	60	50	40	88.03590816407600
	624	60	50	40	87.63776006733480
	625	60	50	40	89.21870847727880
	626	60	50	40	88.30215486620890
	627	60	50	40	90.08131369132480
	628	60	50	40	87.55894664335290
	629	60	50	40	88.8672543086436
	630	60	50	40	88.23170083926490
55					93.8434954440713
	681	60	55	40	94.14740075739520
	682	60	55	40	94.09689994431040
	683	60	55	40	94.5650464055372
	684	60	55	40	93.32467325892740
